x,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),4.718776518880591,0.08315,56.75016859748155,0
TreatmentPolyandrous,0.22869092276451508,0.091415,2.501678310611115,0.012360618072282675
GenN,0.06339874301208509,0.010505,6.035101667023807,1.5886263725859886e-9
